"id","tipo","rol","empleado","razon","monto","calculo_id","created_at","updated_at"
"59340","CARGO","EJECUTIVO","6056","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59341","CARGO","EJECUTIVO","5617","Charge Back","115.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59342","CARGO","EJECUTIVO","6055","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59343","CARGO","EJECUTIVO","5944","Charge Back","237.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59344","CARGO","EJECUTIVO","5326","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59345","CARGO","EJECUTIVO","5880","Charge Back","196.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59346","CARGO","EJECUTIVO","2994","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59347","CARGO","EJECUTIVO","3759","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59348","CARGO","EJECUTIVO","3519","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59349","CARGO","EJECUTIVO","2804","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59350","CARGO","EJECUTIVO","6015","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59351","CARGO","EJECUTIVO","5405","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59352","CARGO","EJECUTIVO","6019","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59353","CARGO","EJECUTIVO","5616","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59354","CARGO","EJECUTIVO","5992","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59355","CARGO","EJECUTIVO","5732","Charge Back","116.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59356","CARGO","EJECUTIVO","5822","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59357","CARGO","EJECUTIVO","5578","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59358","CARGO","EJECUTIVO","5846","Charge Back","160.84","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59359","CARGO","EJECUTIVO","6065","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
